CODE;TEXT;TEXT_Q0;TEXT_Q1;TEXT_QN;N;Q;T;D;U;C;R;COMMENT
143;traffic very much heavier than normal with average speeds $Q;traffic very much heavier than normal;;;;4;D;1;;1;A12;
124;traffic flowing freely with average speeds $Q;traffic flowing freely;;;;4;(D);1;;1;A5;
125;traffic building up with average speeds $Q;traffic building up;;;;4;D;1;;1;A6;
135;traffic easing;;;;;;(D);1;;1;A8;
136;traffic congestion with average speeds $Q;traffic congestion;;;;4;D;1;;1;A9;
70;traffic congestion, average speed of 10 km/h;;;;;;D;1;U;1;A910;
71;traffic congestion, average speed of 20 km/h;;;;;;D;1;U;1;A920;
72;traffic congestion, average speed of 30 km/h;;;;;;D;1;U;1;A930;
73;traffic congestion, average speed of 40 km/h;;;;;;D;1;U;1;A940;
74;traffic congestion, average speed of 50 km/h;;;;;;D;1;;1;A950;
75;traffic congestion, average speed of 60 km/h;;;;;;D;1;;1;A960;
76;traffic congestion, average speed of 70 km/h;;;;;;D;1;;1;A970;
137;traffic lighter than normal with average speeds $Q;traffic lighter than normal;;;;4;D;1;;1;A10;
138;queuing traffic with average speeds $Q. Approach with care;queuing traffic. Approach with care;;;;4;D;1;U;1;A2.Z112;
139;queuing traffic around a bend in the road;;;;;;D;1;U;1;A2.Z165;
140;queuing traffic over the crest of a hill;;;;;;D;1;U;1;A2.Z166;
2;queuing traffic with average speeds $Q. Danger of stationary traffic;queuing traffic. Danger of stationary traffic;;;;4;D;1;U;1;A2.A1D;
215;$Q accident(s). Stationary traffic;accident(s). Stationary traffic;;;;0;D;1;U;1;B1.A1;
216;$Q accident(s). Stationary traffic for 1 km;accident(s). Stationary traffic for 1 km;;;;0;D;1;U;1;B1.A101;
217;$Q accident(s). Stationary traffic for 2 km;accident(s). Stationary traffic for 2 km;;;;0;D;1;U;1;B1.A102;
348;$Q accident(s). Stationary traffic for 3 km;accident(s). Stationary traffic for 3 km;;;;0;D;1;U;1;B1.A103;
218;$Q accident(s). Stationary traffic for 4 km;accident(s). Stationary traffic for 4 km;;;;0;D;1;U;1;B1.A104;
219;$Q accident(s). Stationary traffic for 6 km;accident(s). Stationary traffic for 6 km;;;;0;D;1;U;1;B1.A106;
220;$Q accident(s). Stationary traffic for 10 km;accident(s). Stationary traffic for 10 km;;;;0;D;1;U;1;B1.A110;
221;$Q accident(s). Danger of stationary traffic;accident(s). Danger of stationary traffic;;;;0;D;1;U;1;B1.A1D;
222;$Q accident(s). Queuing traffic;accident(s). Queuing traffic;;;;0;D;1;U;1;B1.A2;
223;$Q accident(s). Queuing traffic for 1 km;accident(s). Queuing traffic for 1 km;;;;0;D;1;U;1;B1.A201;
224;$Q accident(s). Queuing traffic for 2 km;accident(s). Queuing traffic for 2 km;;;;0;D;1;U;1;B1.A202;
349;$Q accident(s). Queuing traffic for 3 km;accident(s). Queuing traffic for 3 km;;;;0;D;1;U;1;B1.A203;
225;$Q accident(s). Queuing traffic for 4 km;accident(s). Queuing traffic for 4 km;;;;0;D;1;U;1;B1.A204;
226;$Q accident(s). Queuing traffic for 6 km;accident(s). Queuing traffic for 6 km;;;;0;D;1;U;1;B1.A206;
227;$Q accident(s). Queuing traffic for 10 km;accident(s). Queuing traffic for 10 km;;;;0;D;1;U;1;B1.A210;
228;$Q accident(s). Danger of queuing traffic;accident(s). Danger of queuing traffic;;;;0;D;1;U;1;B1.A2D;
229;$Q accident(s). Slow traffic;accident(s). Slow traffic;;;;0;D;1;U;1;B1.A3;
230;$Q accident(s). Slow traffic for 1 km;accident(s). Slow traffic for 1 km;;;;0;D;1;U;1;B1.A301;
231;$Q accident(s). Slow traffic for 2 km;accident(s). Slow traffic for 2 km;;;;0;D;1;U;1;B1.A302;
350;$Q accident(s). Slow traffic for 3 km;accident(s). Slow traffic for 3 km;;;;0;D;1;U;1;B1.A303;
232;$Q accident(s). Slow traffic for 4 km;accident(s). Slow traffic for 4 km;;;;0;D;1;U;1;B1.A304;
233;$Q accident(s). Slow traffic for 6 km;accident(s). Slow traffic for 6 km;;;;0;D;1;U;1;B1.A306;
234;$Q accident(s). Slow traffic for 10 km;accident(s). Slow traffic for 10 km;;;;0;D;1;U;1;B1.A310;
236;$Q accident(s). Heavy traffic;accident(s). Heavy traffic;;;;0;D;1;;1;B1.A4;
238;$Q accident(s). Traffic flowing freely;accident(s). Traffic flowing freely;;;;0;(D);1;;1;B1.A5;
239;$Q accident(s). Traffic building up;accident(s). Traffic building up;;;;0;D;1;;1;B1.A6;
250;vehicles slowing to look at $Q accident(s). Stationary traffic;vehicles slowing to look at accident(s). Stationary traffic;;;;0;D;1;U;1;B8.A1;
251;vehicles slowing to look at $Q accident(s). Stationary traffic for 1 km;vehicles slowing to look at accident(s). Stationary traffic for 1 km;;;;0;D;1;U;1;B8.A101;
252;vehicles slowing to look at $Q accident(s). Stationary traffic for 2 km;vehicles slowing to look at accident(s). Stationary traffic for 2 km;;;;0;D;1;U;1;B8.A102;
352;vehicles slowing to look at $Q accident(s). Stationary traffic for 3 km;vehicles slowing to look at accident(s). Stationary traffic for 3 km;;;;0;D;1;U;1;B8.A103;
253;vehicles slowing to look at $Q accident(s). Stationary traffic for 4 km;vehicles slowing to look at accident(s). Stationary traffic for 4 km;;;;0;D;1;U;1;B8.A104;
254;vehicles slowing to look at $Q accident(s). Stationary traffic for 6 km;vehicles slowing to look at accident(s). Stationary traffic for 6 km;;;;0;D;1;U;1;B8.A106;
255;vehicles slowing to look at $Q accident(s). Stationary traffic for 10 km;vehicles slowing to look at accident(s). Stationary traffic for 10 km;;;;0;D;1;U;1;B8.A110;
256;vehicles slowing to look at $Q accident(s). Danger of stationary traffic;vehicles slowing to look at accident(s). Danger of stationary traffic;;;;0;D;1;U;1;B8.A1D;
257;vehicles slowing to look at $Q accident(s). Queuing traffic;vehicles slowing to look at accident(s). Queuing traffic;;;;0;D;1;U;1;B8.A2;
258;vehicles slowing to look at $Q accident(s). Queuing traffic for 1 km;vehicles slowing to look at accident(s). Queuing traffic for 1 km;;;;0;D;1;U;1;B8.A201;
259;vehicles slowing to look at $Q accident(s). Queuing traffic for 2 km;vehicles slowing to look at accident(s). Queuing traffic for 2 km;;;;0;D;1;U;1;B8.A202;
353;vehicles slowing to look at $Q accident(s). Queuing traffic for 3 km;vehicles slowing to look at accident(s). Queuing traffic for 3 km;;;;0;D;1;U;1;B8.A203;
260;vehicles slowing to look at $Q accident(s). Queuing traffic for 4 km;vehicles slowing to look at accident(s). Queuing traffic for 4 km;;;;0;D;1;U;1;B8.A204;
261;vehicles slowing to look at $Q accident(s). Queuing traffic for 6 km;vehicles slowing to look at accident(s). Queuing traffic for 6 km;;;;0;D;1;U;1;B8.A206;
262;vehicles slowing to look at $Q accident(s). Queuing traffic for 10 km;vehicles slowing to look at accident(s). Queuing traffic for 10 km;;;;0;D;1;U;1;B8.A210;
263;vehicles slowing to look at $Q accident(s). Danger of queuing traffic;vehicles slowing to look at accident(s). Danger of queuing traffic;;;;0;D;1;U;1;B8.A2D;
208;vehicles slowing to look at $Q accident(s);vehicles slowing to look at accident(s);;;;0;(D);1;;1;B8;
264;vehicles slowing to look at $Q accident(s). Slow traffic;vehicles slowing to look at accident(s). Slow traffic;;;;0;D;1;U;1;B8.A3;
265;vehicles slowing to look at $Q accident(s). Slow traffic for 1 km;vehicles slowing to look at accident(s). Slow traffic for 1 km;;;;0;D;1;U;1;B8.A301;
266;vehicles slowing to look at $Q accident(s). Slow traffic for 2 km;vehicles slowing to look at accident(s). Slow traffic for 2 km;;;;0;D;1;U;1;B8.A302;
354;vehicles slowing to look at $Q accident(s). Slow traffic for 3 km;vehicles slowing to look at accident(s). Slow traffic for 3 km;;;;0;D;1;U;1;B8.A303;
267;vehicles slowing to look at $Q accident(s). Slow traffic for 4 km;vehicles slowing to look at accident(s). Slow traffic for 4 km;;;;0;D;1;U;1;B8.A304;
268;vehicles slowing to look at $Q accident(s). Slow traffic for 6 km;vehicles slowing to look at accident(s). Slow traffic for 6 km;;;;0;D;1;U;1;B8.A306;
269;vehicles slowing to look at $Q accident(s). Slow traffic for 10 km;vehicles slowing to look at accident(s). Slow traffic for 10 km;;;;0;D;1;U;1;B8.A310;
271;vehicles slowing to look at $Q accident(s). Heavy traffic;vehicles slowing to look at accident(s). Heavy traffic;;;;0;D;1;;1;B8.A4;
274;vehicles slowing to look at $Q accident(s). Traffic building up;vehicles slowing to look at accident(s). Traffic building up;;;;0;D;1;;1;B8.A6;
355;vehicles slowing to look at $Q accident(s). Danger;vehicles slowing to look at accident(s). Danger;;;;0;(D);1;U;1;B8.Z91;
278;$Q shed load(s). Stationary traffic;shed load(s). Stationary traffic;;;;0;D;1;U;1;B10.A1;
279;$Q shed load(s). Stationary traffic for 1 km;shed load(s). Stationary traffic for 1 km;;;;0;D;1;U;1;B10.A101;
280;$Q shed load(s). Stationary traffic for 2 km;shed load(s). Stationary traffic for 2 km;;;;0;D;1;U;1;B10.A102;
356;$Q shed load(s). Stationary traffic for 3 km;shed load(s). Stationary traffic for 3 km;;;;0;D;1;U;1;B10.A103;
281;$Q shed load(s). Stationary traffic for 4 km;shed load(s). Stationary traffic for 4 km;;;;0;D;1;U;1;B10.A104;
282;$Q shed load(s). Stationary traffic for 6 km;shed load(s). Stationary traffic for 6 km;;;;0;D;1;U;1;B10.A106;
283;$Q shed load(s). Stationary traffic for 10 km;shed load(s). Stationary traffic for 10 km;;;;0;D;1;U;1;B10.A110;
284;$Q shed load(s). Danger of stationary traffic;shed load(s). Danger of stationary traffic;;;;0;D;1;U;1;B10.A1D;
285;$Q shed load(s). Queuing traffic;shed load(s). Queuing traffic;;;;0;D;1;U;1;B10.A2;
286;$Q shed load(s). Queuing traffic for 1 km;shed load(s). Queuing traffic for 1 km;;;;0;D;1;U;1;B10.A201;
287;$Q shed load(s). Queuing traffic for 2 km;shed load(s). Queuing traffic for 2 km;;;;0;D;1;U;1;B10.A202;
357;$Q shed load(s). Queuing traffic for 3 km;shed load(s). Queuing traffic for 3 km;;;;0;D;1;U;1;B10.A203;
288;$Q shed load(s). Queuing traffic for 4 km;shed load(s). Queuing traffic for 4 km;;;;0;D;1;U;1;B10.A204;
289;$Q shed load(s). Queuing traffic for 6 km;shed load(s). Queuing traffic for 6 km;;;;0;D;1;U;1;B10.A206;
290;$Q shed load(s). Queuing traffic for 10 km;shed load(s). Queuing traffic for 10 km;;;;0;D;1;U;1;B10.A210;
291;$Q shed load(s). Danger of queuing traffic;shed load(s). Danger of queuing traffic;;;;0;D;1;U;1;B10.A2D;
292;$Q shed load(s). Slow traffic;shed load(s). Slow traffic;;;;0;D;1;U;1;B10.A3;
293;$Q shed load(s). Slow traffic for 1 km;shed load(s). Slow traffic for 1 km;;;;0;D;1;U;1;B10.A301;
294;$Q shed load(s). Slow traffic for 2 km;shed load(s). Slow traffic for 2 km;;;;0;D;1;U;1;B10.A302;
358;$Q shed load(s). Slow traffic for 3 km;shed load(s). Slow traffic for 3 km;;;;0;D;1;U;1;B10.A303;
295;$Q shed load(s). Slow traffic for 4 km;shed load(s). Slow traffic for 4 km;;;;0;D;1;U;1;B10.A304;
296;$Q shed load(s). Slow traffic for 6 km;shed load(s). Slow traffic for 6 km;;;;0;D;1;U;1;B10.A306;
297;$Q shed load(s). Slow traffic for 10 km;shed load(s). Slow traffic for 10 km;;;;0;D;1;U;1;B10.A310;
299;$Q shed load(s). Heavy traffic;shed load(s). Heavy traffic;;;;0;D;1;;1;B10.A4;
301;$Q shed load(s). Traffic flowing freely;shed load(s). Traffic flowing freely;;;;0;(D);1;;1;B10.A5;
302;$Q shed load(s). Traffic building up;shed load(s). Traffic building up;;;;0;D;1;;1;B10.A6;
360;$Q overturned vehicle(s). Stationary traffic;overturned vehicle(s). Stationary traffic;;;;0;D;1;U;1;B16.A1;
361;$Q overturned vehicle(s). Danger of stationary traffic;overturned vehicle(s). Danger of stationary traffic;;;;0;D;1;U;1;B16.A1D;
362;$Q overturned vehicle(s). Queuing traffic;overturned vehicle(s). Queuing traffic;;;;0;D;1;U;1;B16.A2;
363;$Q overturned vehicle(s). Danger of queuing traffic;overturned vehicle(s). Danger of queuing traffic;;;;0;D;1;U;1;B16.A2D;
364;$Q overturned vehicle(s). Slow traffic;overturned vehicle(s). Slow traffic;;;;0;D;1;U;1;B16.A3;
366;$Q overturned vehicle(s). Heavy traffic;overturned vehicle(s). Heavy traffic;;;;0;D;1;;1;B16.A4;
368;$Q overturned vehicle(s). Traffic building up;overturned vehicle(s). Traffic building up;;;;0;D;1;;1;B16.A6;
379;Stationary traffic due to $Q earlier accident(s);Stationary traffic due to earlier accident(s);;;;0;D;1;U;1;B22.A1;
380;Danger of stationary traffic due to $Q earlier accident(s);Danger of stationary traffic due to earlier accident(s);;;;0;D;1;U;1;B22.A1D;
381;Queuing traffic due to $Q earlier accident(s);Queuing traffic due to earlier accident(s);;;;0;D;1;U;1;B22.A2;
382;Danger of queuing traffic due to $Q earlier accident(s);Danger of queuing traffic due to earlier accident(s);;;;0;D;1;U;1;B22.A2D;
383;Slow traffic due to $Q earlier accident(s);Slow traffic due to earlier accident(s);;;;0;D;1;U;1;B22.A3;
385;Heavy traffic due to $Q earlier accident(s);Heavy traffic due to earlier accident(s);;;;0;D;1;;1;B22.A4;
387;Traffic building up due to $Q earlier accident(s);Traffic building up due to earlier accident(s);;;;0;D;1;;1;B22.A6;
313;$Q broken down vehicle(s). Stationary traffic;broken down vehicle(s). Stationary traffic;;;;0;D;1;U;1;B11.A1;
314;$Q broken down vehicle(s). Danger of stationary traffic;broken down vehicle(s). Danger of stationary traffic;;;;0;D;1;U;1;B11.A1D;
315;$Q broken down vehicle(s). Queuing traffic;broken down vehicle(s). Queuing traffic;;;;0;D;1;U;1;B11.A2;
316;$Q broken down vehicle(s). Danger of queuing traffic;broken down vehicle(s). Danger of queuing traffic;;;;0;D;1;U;1;B11.A2D;
317;$Q broken down vehicle(s). Slow traffic;broken down vehicle(s). Slow traffic;;;;0;D;1;U;1;B11.A3;
319;$Q broken down vehicle(s). Heavy traffic;broken down vehicle(s). Heavy traffic;;;;0;D;1;;1;B11.A4;
321;$Q broken down vehicle(s). Traffic flowing freely;broken down vehicle(s). Traffic flowing freely;;;;0;(D);1;;1;B11.A5;
322;$Q broken down vehicle(s). Traffic building up;broken down vehicle(s).Traffic building up;;;;0;D;1;;1;B11.A6;
410;closed ahead. Stationary traffic;;;;;;D;1;U;1;C3.A1;
411;closed ahead. Stationary traffic for 1 km;;;;;;D;1;U;1;C3.A101;
412;closed ahead. Stationary traffic for 2 km;;;;;;D;1;U;1;C3.A102;
495;closed ahead. Stationary traffic for 3 km;;;;;;D;1;U;1;C3.A103;
413;closed ahead. Stationary traffic for 4 km;;;;;;D;1;U;1;C3.A104;
414;closed ahead. Stationary traffic for 6 km;;;;;;D;1;U;1;C3.A106;
415;closed ahead. Stationary traffic for 10 km;;;;;;D;1;U;1;C3.A110;
416;closed ahead. Danger of stationary traffic;;;;;;D;1;U;1;C3.A1D;
417;closed ahead. Queuing traffic;;;;;;D;1;U;1;C3.A2;
418;closed ahead. Queuing traffic for 1 km;;;;;;D;1;U;1;C3.A201;
419;closed ahead. Queuing traffic for 2 km;;;;;;D;1;U;1;C3.A202;
496;closed ahead. Queuing traffic for 3 km;;;;;;D;1;U;1;C3.A203;
420;closed ahead. Queuing traffic for 4 km;;;;;;D;1;U;1;C3.A204;
421;closed ahead. Queuing traffic for 6 km;;;;;;D;1;U;1;C3.A206;
422;closed ahead. Queuing traffic for 10 km;;;;;;D;1;U;1;C3.A210;
423;closed ahead. Danger of queuing traffic;;;;;;D;1;U;1;C3.A2D;
424;closed ahead. Slow traffic;;;;;;D;1;U;1;C3.A3;
425;closed ahead. Slow traffic for 1 km;;;;;;D;1;U;1;C3.A301;
426;closed ahead. Slow traffic for 2 km;;;;;;D;1;U;1;C3.A302;
497;closed ahead. Slow traffic for 3 km;;;;;;D;1;U;1;C3.A303;
427;closed ahead. Slow traffic for 4 km;;;;;;D;1;U;1;C3.A304;
428;closed ahead. Slow traffic for 6 km;;;;;;D;1;U;1;C3.A306;
429;closed ahead. Slow traffic for 10 km;;;;;;D;1;U;1;C3.A310;
431;closed ahead. Heavy traffic;;;;;;D;1;U;1;C3.A4;
433;closed ahead. Traffic flowing freely;;;;;;(D);1;U;1;C3.A5;
434;closed ahead. Traffic building up;;;;;;D;1;U;1;C3.A6;
438;blocked ahead. Stationary traffic;;;;;;D;1;U;1;C4.A1;
439;blocked ahead. Stationary traffic for 1 km;;;;;;D;1;U;1;C4.A101;
440;blocked ahead. Stationary traffic for 2 km;;;;;;D;1;U;1;C4.A102;
498;blocked ahead. Stationary traffic for 3 km;;;;;;D;1;U;1;C4.A103;
441;blocked ahead. Stationary traffic for 4 km;;;;;;D;1;U;1;C4.A104;
442;blocked ahead. Stationary traffic for 6 km;;;;;;D;1;U;1;C4.A106;
443;blocked ahead. Stationary traffic for 10 km;;;;;;D;1;U;1;C4.A110;
444;blocked ahead. Danger of stationary traffic;;;;;;D;1;U;1;C4.A1D;
445;blocked ahead. Queuing traffic;;;;;;D;1;U;1;C4.A2;
446;blocked ahead. Queuing traffic for 1 km;;;;;;D;1;U;1;C4.A201;
447;blocked ahead. Queuing traffic for 2 km;;;;;;D;1;U;1;C4.A202;
499;blocked ahead. Queuing traffic for 3 km;;;;;;D;1;U;1;C4.A203;
448;blocked ahead. Queuing traffic for 4 km;;;;;;D;1;U;1;C24.A204;
449;blocked ahead. Queuing traffic for 6 km;;;;;;D;1;U;1;C4.A206;
450;blocked ahead. Queuing traffic for 10 km;;;;;;D;1;U;1;C4.A210;
451;blocked ahead. Danger of queuing traffic;;;;;;D;1;U;1;C4.A2D;
452;blocked ahead. Slow traffic;;;;;;D;1;U;1;C4.A3;
453;blocked ahead. Slow traffic for 1 km;;;;;;D;1;U;1;C4.A301;
454;blocked ahead. Slow traffic for 2 km;;;;;;D;1;U;1;C4.A302;
626;blocked ahead. Slow traffic for 3 km;;;;;;D;1;U;1;C4.A303;
455;blocked ahead. Slow traffic for 4 km;;;;;;D;1;U;1;C4.A304;
456;blocked ahead. Slow traffic for 6 km;;;;;;D;1;U;1;C4.A306;
457;blocked ahead. Slow traffic for 10 km;;;;;;D;1;U;1;C4.A310;
459;blocked ahead. Heavy traffic;;;;;;D;1;U;1;C4.A4;
461;blocked ahead. Traffic flowing freely;;;;;;(D);1;U;1;C4.A5;
462;blocked ahead. Traffic building up;;;;;;D;1;U;1;C4.A6;
521;$Q lanes closed. Stationary traffic;lanes closed. Stationary traffic;;;;0;D;1;U;1;D1.A1;
522;$Q lanes closed. Stationary traffic for 1 km;lanes closed. Stationary traffic for 1 km;;;;0;D;1;U;1;D1.A101;
523;$Q lanes closed. Stationary traffic for 2 km;lanes closed. Stationary traffic for 2 km;;;;0;D;1;U;1;D1.A102;
651;$Q lanes closed. Stationary traffic for 3 km;lanes closed. Stationary traffic for 3 km;;;;0;D;1;U;1;D1.A103;
524;$Q lanes closed. Stationary traffic for 4 km;lanes closed. Stationary traffic for 4 km;;;;0;D;1;U;1;D1.A104;
525;$Q lanes closed. Stationary traffic for 6 km;lanes closed. Stationary traffic for 6 km;;;;0;D;1;U;1;D1.A106;
526;$Q lanes closed. Stationary traffic for 10 km;lanes closed. Stationary traffic for 10 km;;;;0;D;1;U;1;D1.A110;
527;$Q lanes closed. Danger of stationary traffic;lanes closed. Danger of stationary traffic;;;;0;D;1;U;1;D1.A1D;
528;$Q lanes closed. Queuing traffic;lanes closed. Queuing traffic;;;;0;D;1;U;1;D1.A2;
529;$Q lanes closed. Queuing traffic for 1 km;lanes closed. Queuing traffic for 1 km;;;;0;D;1;U;1;D1.A201;
530;$Q lanes closed. Queuing traffic for 2 km;lanes closed. Queuing traffic for 2 km;;;;0;D;1;U;1;D1.A202;
652;$Q lanes closed. Queuing traffic for 3 km;lanes closed. Queuing traffic for 3 km;;;;0;D;1;U;1;D1.A203;
531;$Q lanes closed. Queuing traffic for 4 km;lanes closed. Queuing traffic for 4 km;;;;0;D;1;U;1;D1.A204;
532;$Q lanes closed. Queuing traffic for 6 km;lanes closed. Queuing traffic for 6 km;;;;0;D;1;U;1;D1.A206;
533;$Q lanes closed. Queuing traffic for 10 km;lanes closed. Queuing traffic for 10 km;;;;0;D;1;U;1;D1.A210;
534;$Q lanes closed. Danger of queuing traffic;lanes closed. Danger of queuing traffic;;;;0;D;1;U;1;D1.A2D;
535;$Q lanes closed. Slow traffic;lanes closed. Slow traffic;;;;0;D;1;U;1;D1.A3;
536;$Q lanes closed. Slow traffic for 1 km;lanes closed. Slow traffic for 1 km;;;;0;D;1;U;1;D1.A301;
537;$Q lanes closed. Slow traffic for 2 km;lanes closed. Slow traffic for 2 km;;;;0;D;1;U;1;D1.A302;
653;$Q lanes closed. Slow traffic for 3 km;lanes closed. Slow traffic for 3 km;;;;0;D;1;U;1;D1.A303;
538;$Q lanes closed. Slow traffic for 4 km;lanes closed. Slow traffic for 4 km;;;;0;D;1;U;1;D1.A304;
539;$Q lanes closed. Slow traffic for 6 km;lanes closed. Slow traffic for 6 km;;;;0;D;1;U;1;D1.A306;
540;$Q lanes closed. Slow traffic for 10 km;lanes closed. Slow traffic for 10 km;;;;0;D;1;U;1;D1.A310;
542;$Q lanes closed. Heavy traffic;lanes closed. Heavy traffic;;;;0;D;1;;1;D1.A4;
544;$Q lanes closed. Traffic flowing freely;lanes closed. Traffic flowing freely;;;;0;(D);1;;1;D1.A5;
545;$Q lanes closed. Traffic building up;lanes closed. Traffic building up;;;;0;D;1;;1;D1.A6;
546;carriageway reduced from $Q lanes to one lane. Stationary traffic;carriageway reduced to one lane. Stationary traffic;;;;0;D;1;U;1;D15.A1;
547;carriageway reduced from $Q lanes to one lane. Danger of stationary traffic;carriageway reduced to one lane. Danger of stationary traffic;;;;0;D;1;U;1;D15.A1D;
548;carriageway reduced from $Q lanes to one lane. Queuing traffic;carriageway reduced to one lane. Queuing traffic;;;;0;D;1;U;1;D15.A2;
549;carriageway reduced from $Q lanes to one lane. Danger of queuing traffic;carriageway reduced to one lane. Danger of queuing traffic;;;;0;D;1;U;1;D15.A2D;
550;carriageway reduced from $Q lanes to one lane. Slow traffic;carriageway reduced to one lane. Slow traffic;;;;0;D;1;U;1;D15.A3;
552;carriageway reduced from $Q lanes to one lane. Heavy traffic;carriageway reduced to one lane. Heavy traffic;;;;0;D;1;;1;D15.A4;
554;carriageway reduced from $Q lanes to one lane. Traffic flowing freely;carriageway reduced to one lane. Traffic flowing freely;;;;0;(D);1;;1;D15.A5;
555;carriageway reduced from $Q lanes to one lane. Traffic building up;carriageway reduced to one lane. Traffic building up;;;;0;D;1;;1;D15.A6;
556;carriageway reduced from $Q lanes to two lanes. Stationary traffic;carriageway reduced to two lanes. Stationary traffic;;;;0;D;1;U;1;D16.A1;
557;carriageway reduced from $Q lanes to two lanes. Danger of stationary traffic;carriageway reduced to two lanes. Danger of stationary traffic;;;;0;D;1;U;1;D16.A1D;
558;carriageway reduced from $Q lanes to two lanes. Queuing traffic;carriageway reduced to two lanes. Queuing traffic;;;;0;D;1;U;1;D16.A2;
559;carriageway reduced from $Q lanes to two lanes. Danger of queuing traffic;carriageway reduced to two lanes. Danger of queuing traffic;;;;0;D;1;U;1;D16.A2D;
560;carriageway reduced from $Q lanes to two lanes. Slow traffic;carriageway reduced to two lanes. Slow traffic;;;;0;D;1;U;1;D16.A3;
562;carriageway reduced from $Q lanes to two lanes. Heavy traffic;carriageway reduced to two lanes. Heavy traffic;;;;0;D;1;;1;D16.A4;
564;carriageway reduced from $Q lanes to two lanes. Traffic flowing freely;carriageway reduced to two lanes. Traffic flowing freely;;;;0;(D);1;;1;D16.A5;
565;carriageway reduced from $Q lanes to two lanes. Traffic building up;carriageway reduced to two lanes. Traffic building up;;;;0;D;1;;1;D16.A6;
566;carriageway reduced from $Q lanes to three lanes. Stationary traffic;carriageway reduced to three lanes. Stationary traffic;;;;0;D;1;U;1;D17.A1;
567;carriageway reduced from $Q lanes to three lanes. Danger of stationary traffic;carriageway reduced to three lanes. Danger of stationary traffic;;;;0;D;1;U;1;D17.A1D;
568;carriageway reduced from $Q lanes to three lanes. Queuing traffic;carriageway reduced to three lanes. Queuing traffic;;;;0;D;1;U;1;D17.A2;
569;carriageway reduced from $Q lanes to three lanes. Danger of queuing traffic;carriageway reduced to three lanes. Danger of queuing traffic;;;;0;D;1;U;1;D17.A2D;
570;carriageway reduced from $Q lanes to three lanes. Slow traffic;carriageway reduced to three lanes. Slow traffic;;;;0;D;1;U;1;D17.A3;
572;carriageway reduced from $Q lanes to three lanes. Heavy traffic;carriageway reduced to three lanes. Heavy traffic;;;;0;D;1;;1;D17.A4;
574;carriageway reduced from $Q lanes to three lanes. Traffic flowing freely;carriageway reduced to three lanes. Traffic flowing freely;;;;0;(D);1;;1;D17.A5;
575;carriageway reduced from $Q lanes to three lanes. Traffic building up;carriageway reduced to three lanes. Traffic building up;;;;0;D;1;;1;D17.A6;
576;contraflow. Stationary traffic;;;;;;D;1;U;1;D18.A1;
577;contraflow. Stationary traffic for 1 km;;;;;;D;1;U;1;D18.A101;
578;contraflow. Stationary traffic for 2 km;;;;;;D;1;U;1;D18.A102;
654;contraflow. Stationary traffic for 3 km;;;;;;D;1;U;1;D18.A103;
579;contraflow. Stationary traffic for 4 km;;;;;;D;1;U;1;D18.A104;
